INFO  - 2014-06-06 10:53:52.860; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[1340563ac7ec63043377ded24eddd7ce (1470150562658910208)]} 0 2
INFO  - 2014-06-06 10:53:52.912; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[fd1efeeb44430864a3d2c53278c59060 (1470150562714484736)]} 0 2
INFO  - 2014-06-06 10:53:52.954; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[d6ee68db2332281ec7865f7077de8707 (1470150562757476352)]} 0 2
INFO  - 2014-06-06 10:53:53.039; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[f88930894a439a2d93ac75b477f8ef27 (1470150562847653888)]} 0 2
INFO  - 2014-06-06 10:53:53.141; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[8cb7fed2eb80e7a541cc04b0db9814a8 (1470150562953560064)]} 0 2
INFO  - 2014-06-06 10:53:53.166; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[0154a49f9c552c35e718e1b2a170a769 (1470150562979774464)]} 0 5
INFO  - 2014-06-06 10:53:53.285; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[1caa14eb2e3a5907a76f175ce75c1925 (1470150563105603584)]} 0 3
INFO  - 2014-06-06 10:53:53.432; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[f64017ca426f0c88897fefe838ca71ea (1470150563259744256)]} 0 2
INFO  - 2014-06-06 10:53:53.586; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[a2ade80b21c3af1b906a2db326ef1141 (1470150563419127808)]} 0 3
INFO  - 2014-06-06 10:53:53.647; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[76030613a10d44a5d4ebeccaecfc8c53 (1470150563483090944)]} 0 6
INFO  - 2014-06-06 10:53:53.703; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[828cf0341ad085f1092f3a541fd78871 (1470150563543908352)]} 0 2
INFO  - 2014-06-06 10:53:53.752; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[dc8d68c533f563f379cab114a1657ad9 (1470150563594240000)]} 0 2
INFO  - 2014-06-06 10:53:53.832; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[74cf3bcc3642b3b96e6106b505eb37dc (1470150563679174656)]} 0 2
INFO  - 2014-06-06 10:53:53.854; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[530fcebb3a89fb8ab9f17e658fd3b01b (1470150563699097600)]} 0 5
INFO  - 2014-06-06 10:53:53.907; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[7d45c88e80b2ba613b43ad2a1b692790 (1470150563757817856)]} 0 2
INFO  - 2014-06-06 10:53:54.225; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[40d5f5102f70a27eb6c3d34bd67a2cf5 (1470150564090216448)]} 0 35
INFO  - 2014-06-06 10:53:54.344; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[a1979b047d5f754fb97ec5c34c84abaf (1470150564205559808)]} 0 11
INFO  - 2014-06-06 10:53:54.603; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[2b5c445174d1167423ec171bdf138226 (1470150564486578176)]} 0 3
INFO  - 2014-06-06 10:53:54.605; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=false,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2014-06-06 10:53:54.663; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/lolautruche/workspace/metalfrance/legacy/extension/ezfind/java/solr/ezp-default/data/index lockFactory=NativeFSLockFactory@/Users/lolautruche/workspace/metalfrance/legacy/extension/ezfind/java/solr/ezp-default/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_33,generation=111}
	commit{dir=NRTCachingDirectory(NIOFSDirectory@/Users/lolautruche/workspace/metalfrance/legacy/extension/ezfind/java/solr/ezp-default/data/index lockFactory=NativeFSLockFactory@/Users/lolautruche/workspace/metalfrance/legacy/extension/ezfind/java/solr/ezp-default/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_34,generation=112}
INFO  - 2014-06-06 10:53:54.663; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 112
INFO  - 2014-06-06 10:53:54.683; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@1b98386b[ezp-default] realtime
INFO  - 2014-06-06 10:53:54.686; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2014-06-06 10:53:54.755; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[b882de430cfd3ea2b72c2a2a015ab3f5 (1470150564644913152)]} 0 5
INFO  - 2014-06-06 10:53:54.905; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[65e3cca75bb9edb6d17518b0a4d91846 (1470150564798005248)]} 0 8
INFO  - 2014-06-06 10:53:55.078; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[f778338e20c42791510bb6b69f47ecf4 (1470150564983603200)]} 0 6
INFO  - 2014-06-06 10:53:55.829; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[4341ea06682ee94109481f315c589096 (1470150565772132352)]} 0 2
INFO  - 2014-06-06 10:53:55.851; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[67b6170287602ac86e41a6d439450d3a (1470150565794152448)]} 0 4
INFO  - 2014-06-06 10:53:56.036; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[b89469482bffb6464dcf8a7abc3a8f45 (1470150565990236160)]} 0 2
INFO  - 2014-06-06 10:53:56.363; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[3ed6a6ace93326056c96c97f82943687 (1470150566328926208)]} 0 14
INFO  - 2014-06-06 10:53:56.656; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[275657be7e7f4bb18f325a82c3014924 (1470150566640353280)]} 0 2
INFO  - 2014-06-06 10:53:56.924; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[2f36dd7090886583d098d340823942b7 (1470150566919274496)]} 0 3
INFO  - 2014-06-06 10:53:57.115; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[1cf7c66f61f7c03125b1268829f4299f (1470150567116406784)]} 0 10
INFO  - 2014-06-06 10:53:57.336; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[4ec54e6ca1dc33c933f463b40eb3db60 (1470150567349190656)]} 0 7
INFO  - 2014-06-06 10:53:57.359; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[810e8c1ad1c0f65e3ee862def1fea055 (1470150567367016448)]} 0 12
INFO  - 2014-06-06 10:53:57.419; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[554a40ac6545f358bbee314a57c28035 (1470150567439368192)]} 0 4
INFO  - 2014-06-06 10:53:57.495; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[118a2034ceb32b1a72eec002c4b76c4a (1470150567519059968)]} 0 4
INFO  - 2014-06-06 10:53:58.642; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[7ace70904c13c39c2ad3c05de553e3b2 (1470150568721776640)]} 0 3
INFO  - 2014-06-06 10:53:58.734; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[dd3cbc4e0643e0255119ec5077f6bdd9 (1470150568818245632)]} 0 7
INFO  - 2014-06-06 10:53:58.814; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[6749379379781f8ed9df1cc3054120e6 (1470150568903180288)]} 0 3
INFO  - 2014-06-06 10:53:58.904; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[d40c7f49d741c2230835026fc1e313a0 (1470150568996503552)]} 0 2
INFO  - 2014-06-06 10:53:58.997; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[f9aaacf9442291f4f5ab41d241d37cd0 (1470150569089826816)]} 0 6
INFO  - 2014-06-06 10:54:00.613; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[e9cb58a2362a45f92b2e189b0e1102bf (1470150570787471360)]} 0 3
INFO  - 2014-06-06 10:54:00.836; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[fa968f33f540c03d8a8a86879a1dcac5 (1470150571022352384)]} 0 10
INFO  - 2014-06-06 10:54:01.839; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ba6b69ef8ce5b915b0e8038b15ca20a1 (1470150572069879808)]} 0 7
INFO  - 2014-06-06 10:54:01.936; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[0b1a70b342b2cd9815267c264b331592 (1470150572176834560)]} 0 2
INFO  - 2014-06-06 10:54:02.024; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[7bc547399c1a8fdf58bcb2a31c18084c (1470150572269109248)]} 0 2
